Response_ID,Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations
103030,120060,2-3 times a week,Throughout the day,Increased energy and focus,No,Negative,Effective,No,4,Health concerns,Gangster,Other,Wider range of flavors,Vitamins,Yes,Yes,Print media,Compact and portable cans,Yes,50-99,Online retailers,Studying/working late
103031,120061,Once a week,Before exercise,To combat fatigue,Yes,Neutral,Healthy,No,1,Not interested in energy drinks,Gangster,Taste/flavor preference,More natural ingredients,Caffeine,No,No,TV commercials,Innovative bottle design,Yes,Above 150,Gyms and fitness centers,Sports/exercise
103032,120062,Once a week,Before exercise,Increased energy and focus,No,Neutral,Effective,Yes,4,Health concerns,Cola-Coka,Other,More natural ingredients,Vitamins,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,Below 50,Supermarkets,Driving/commuting
103033,120063,Daily,Before exercise,Increased energy and focus,No,Neutral,Healthy,No,3,Health concerns,CodeX,Brand reputation,Wider range of flavors,Guarana,No,Not Sure,TV commercials,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
103034,120064,2-3 times a week,For mental alertness,Increased energy and focus,No,Positive,Healthy,Yes,4,Health concerns,Gangster,Brand reputation,Wider range of flavors,Caffeine,Yes,Not Sure,Online ads,Compact and portable cans,Not Sure,Above 150,Supermarkets,Sports/exercise
103035,120065,2-3 times a week,For mental alertness,To enhance sports performance,No,Neutral,Effective,No,2,Not available locally,CodeX,Availability,More natural ingredients,Vitamins,Yes,No,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Social outings/parties
103036,120066,2-3 times a month,Throughout the day,To boost performance,No,Neutral,Not sure,No,2,Health concerns,CodeX,Taste/flavor preference,Wider range of flavors,Caffeine,Yes,Not Sure,Other,Innovative bottle design,No,100-150,Supermarkets,Sports/exercise
103037,120067,Rarely,Before exercise,Increased energy and focus,No,Negative,Effective,Yes,3,Not interested in energy drinks,Cola-Coka,Effectiveness,More natural ingredients,Caffeine,No,Not Sure,Other,Compact and portable cans,Yes,50-99,Online retailers,Sports/exercise
103038,120068,Rarely,To stay awake during work/study,To combat fatigue,No,Neutral,Not sure,No,1,Not available locally,Blue Bull,Other,Wider range of flavors,Sugar,No,Yes,Online ads,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
103039,120069,2-3 times a week,Before exercise,To boost performance,No,Neutral,Effective,No,2,Not interested in energy drinks,Bepsi,Availability,More natural ingredients,Vitamins,No,No,Outdoor billboards,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late
103040,120070,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Not sure,No,5,Not interested in energy drinks,CodeX,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,Outdoor billboards,Compact and portable cans,Not Sure,100-150,Gyms and fitness centers,Sports/exercise
103041,120071,2-3 times a week,Throughout the day,Other,No,Neutral,Healthy,Yes,3,Other,Bepsi,Effectiveness,Wider range of flavors,Sugar,No,Yes,Online ads,Eco-friendly design,Not Sure,100-150,Supermarkets,Social outings/parties
103042,120072,Daily,Before exercise,To enhance sports performance,No,Negative,Effective,No,4,Other,Sky 9,Effectiveness,Reduced sugar content,Caffeine,No,No,Other,Collectible packaging,No,Above 150,Supermarkets,Studying/working late
103043,120073,Rarely,To stay awake during work/study,Increased energy and focus,No,Positive,Not sure,Yes,1,Not available locally,Blue Bull,Other,Healthier alternatives,Vitamins,No,Yes,Online ads,Compact and portable cans,Not Sure,50-99,Online retailers,Social outings/parties
103044,120074,2-3 times a month,For mental alertness,To boost performance,No,Negative,Not sure,No,4,Health concerns,Cola-Coka,Taste/flavor preference,More natural ingredients,Sugar,No,No,Outdoor billboards,Innovative bottle design,Yes,50-99,Gyms and fitness centers,Sports/exercise
103045,120075,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Positive,Effective,Yes,2,Not interested in energy drinks,Bepsi,Effectiveness,Healthier alternatives,Vitamins,No,Yes,Outdoor billboards,Innovative bottle design,Not Sure,50-99,Supermarkets,Other
103046,120076,2-3 times a week,Throughout the day,To enhance sports performance,Yes,Neutral,Healthy,No,4,Health concerns,Gangster,Availability,Reduced sugar content,Caffeine,No,Not Sure,Outdoor billboards,Other,Yes,50-99,Supermarkets,Sports/exercise
103047,120077,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,No,4,Not available locally,Cola-Coka,Brand reputation,Other,Vitamins,Yes,Yes,TV commercials,Innovative bottle design,Not Sure,50-99,Supermarkets,Studying/working late
103048,120078,Rarely,Before exercise,To enhance sports performance,No,Neutral,Dangerous,No,3,Health concerns,Others,Taste/flavor preference,Wider range of flavors,Guarana,Yes,Yes,TV commercials,Other,Not Sure,100-150,Supermarkets,Sports/exercise
103049,120079,2-3 times a week,For mental alertness,To boost performance,Yes,Negative,Dangerous,Yes,4,Other,Bepsi,Effectiveness,More natural ingredients,Vitamins,Yes,No,Other,Collectible packaging,Yes,50-99,Supermarkets,Sports/exercise
103050,120080,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Effective,Yes,5,Health concerns,Bepsi,Effectiveness,More natural ingredients,Vitamins,Yes,Not Sure,Online ads,Compact and portable cans,No,50-99,Gyms and fitness centers,Other
103051,120081,Rarely,Before exercise,To combat fatigue,Yes,Negative,Not sure,No,3,Other,Sky 9,Other,Wider range of flavors,Guarana,No,Yes,Online ads,Innovative bottle design,Yes,Above 150,Online retailers,Sports/exercise
103052,120082,Once a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,Yes,3,Health concerns,Bepsi,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,No,100-150,Supermarkets,Studying/working late
103053,120083,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Dangerous,Yes,2,Unfamiliar with the brand,Cola-Coka,Brand reputation,More natural ingredients,Caffeine,No,Yes,Print media,Eco-friendly design,No,100-150,Other,Social outings/parties
103054,120084,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Negative,Not sure,No,2,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Sugar,No,No,Outdoor billboards,Collectible packaging,No,50-99,Online retailers,Sports/exercise
103055,120085,2-3 times a week,Before exercise,Increased energy and focus,No,Positive,Dangerous,No,5,Not interested in energy drinks,Sky 9,Availability,More natural ingredients,Guarana,No,No,Print media,Eco-friendly design,No,Above 150,Supermarkets,Social outings/parties
103056,120086,Once a week,For mental alertness,To combat fatigue,Yes,Neutral,Dangerous,No,1,Other,Cola-Coka,Availability,More natural ingredients,Sugar,Yes,Yes,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Sports/exercise
103057,120087,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,Yes,1,Not available locally,Bepsi,Effectiveness,Wider range of flavors,Vitamins,Yes,Not Sure,TV commercials,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Social outings/parties
103058,120088,Rarely,For mental alertness,To combat fatigue,No,Negative,Effective,No,3,Unfamiliar with the brand,Cola-Coka,Other,More natural ingredients,Caffeine,No,Yes,Print media,Innovative bottle design,Yes,100-150,Supermarkets,Other
103059,120089,Rarely,Throughout the day,Increased energy and focus,Yes,Neutral,Healthy,Yes,4,Other,Bepsi,Brand reputation,Healthier alternatives,Sugar,No,Yes,TV commercials,Eco-friendly design,No,50-99,Supermarkets,Sports/exercise
103060,120090,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Not sure,Yes,4,Not interested in energy drinks,Cola-Coka,Brand reputation,Wider range of flavors,Vitamins,No,Yes,TV commercials,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
103061,120091,Daily,Before exercise,Increased energy and focus,Yes,Neutral,Dangerous,No,4,Health concerns,Blue Bull,Effectiveness,More natural ingredients,Vitamins,Yes,No,Print media,Eco-friendly design,Yes,100-150,Gyms and fitness centers,Sports/exercise
103062,120092,Rarely,Throughout the day,Increased energy and focus,No,Neutral,Healthy,Yes,4,Not available locally,Bepsi,Availability,Healthier alternatives,Vitamins,No,Yes,Other,Compact and portable cans,Not Sure,100-150,Supermarkets,Sports/exercise
103063,120093,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Neutral,Healthy,No,4,Health concerns,Bepsi,Other,Reduced sugar content,Vitamins,Yes,Yes,Online ads,Other,Not Sure,50-99,Supermarkets,Sports/exercise
103064,120094,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Dangerous,No,2,Other,Blue Bull,Brand reputation,More natural ingredients,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,No,50-99,Gyms and fitness centers,Sports/exercise
103065,120095,2-3 times a week,Before exercise,To boost performance,No,Positive,Not sure,No,4,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Vitamins,No,No,Online ads,Collectible packaging,Yes,50-99,Supermarkets,Social outings/parties
103066,120096,2-3 times a week,Throughout the day,To enhance sports performance,No,Neutral,Not sure,Yes,3,Not available locally,Cola-Coka,Effectiveness,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Collectible packaging,Yes,50-99,Gyms and fitness centers,Sports/exercise
103067,120097,Daily,To stay awake during work/study,Increased energy and focus,No,Neutral,Healthy,No,2,Not interested in energy drinks,Gangster,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,Not Sure,Online ads,Innovative bottle design,Yes,Below 50,Online retailers,Sports/exercise
103068,120098,Daily,Throughout the day,Other,No,Neutral,Effective,No,4,Health concerns,Blue Bull,Brand reputation,More natural ingredients,Sugar,Yes,No,TV commercials,Compact and portable cans,Yes,100-150,Other,Studying/working late
103069,120099,2-3 times a week,Before exercise,Other,No,Negative,Effective,Yes,4,Health concerns,Blue Bull,Brand reputation,Reduced sugar content,Vitamins,No,Not Sure,Other,Collectible packaging,No,Below 50,Supermarkets,Studying/working late
103070,120100,Daily,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Effective,Yes,2,Other,Gangster,Availability,Reduced sugar content,Caffeine,No,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Sports/exercise
103071,120101,2-3 times a month,To stay awake during work/study,To enhance sports performance,No,Neutral,Dangerous,Yes,1,Not available locally,CodeX,Effectiveness,Healthier alternatives,Sugar,Yes,Yes,Other,Innovative bottle design,Yes,100-150,Supermarkets,Sports/exercise
103072,120102,Rarely,Before exercise,Increased energy and focus,No,Positive,Healthy,Yes,2,Health concerns,Blue Bull,Other,More natural ingredients,Vitamins,No,Yes,Online ads,Compact and portable cans,Not Sure,50-99,Online retailers,Studying/working late
103073,120103,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Negative,Not sure,Yes,4,Health concerns,Gangster,Effectiveness,More natural ingredients,Vitamins,No,Not Sure,Online ads,Eco-friendly design,No,100-150,Supermarkets,Social outings/parties
103074,120104,Once a week,Throughout the day,Increased energy and focus,Yes,Neutral,Healthy,No,1,Health concerns,Blue Bull,Other,More natural ingredients,Caffeine,Yes,Yes,Other,Collectible packaging,Yes,100-150,Supermarkets,Sports/exercise
103075,120105,Once a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Dangerous,Yes,2,Unfamiliar with the brand,Cola-Coka,Effectiveness,Reduced sugar content,Vitamins,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Other,Studying/working late
103076,120106,2-3 times a week,Throughout the day,Increased energy and focus,No,Neutral,Dangerous,Yes,3,Not interested in energy drinks,CodeX,Taste/flavor preference,More natural ingredients,Caffeine,Yes,No,Online ads,Innovative bottle design,Yes,Above 150,Local stores,Sports/exercise
103077,120107,Rarely,To stay awake during work/study,Increased energy and focus,No,Neutral,Healthy,Yes,1,Health concerns,Cola-Coka,Other,Other,Sugar,Yes,No,Other,Innovative bottle design,No,Below 50,Supermarkets,Studying/working late
103078,120108,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,No,4,Health concerns,Sky 9,Availability,Wider range of flavors,Caffeine,Yes,Not Sure,Online ads,Compact and portable cans,Not Sure,50-99,Local stores,Studying/working late
103079,120109,2-3 times a month,For mental alertness,Increased energy and focus,No,Neutral,Effective,Yes,2,Other,Blue Bull,Taste/flavor preference,Wider range of flavors,Vitamins,No,Not Sure,Other,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
103080,120110,2-3 times a week,Throughout the day,Increased energy and focus,Yes,Neutral,Not sure,No,1,Unfamiliar with the brand,Sky 9,Effectiveness,Other,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,Yes,50-99,Online retailers,Studying/working late
103081,120111,Rarely,Throughout the day,Increased energy and focus,Yes,Negative,Not sure,Yes,3,Not available locally,Gangster,Effectiveness,More natural ingredients,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,Not Sure,Below 50,Gyms and fitness centers,Driving/commuting
103082,120112,Rarely,Before exercise,To combat fatigue,No,Neutral,Healthy,Yes,2,Not interested in energy drinks,Others,Brand reputation,More natural ingredients,Caffeine,No,Yes,TV commercials,Compact and portable cans,Yes,Below 50,Supermarkets,Studying/working late
103083,120113,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,No,3,Unfamiliar with the brand,Bepsi,Effectiveness,Reduced sugar content,Sugar,No,Yes,Online ads,Collectible packaging,Yes,50-99,Supermarkets,Sports/exercise
103084,120114,Rarely,For mental alertness,To boost performance,No,Neutral,Effective,Yes,3,Health concerns,Gangster,Effectiveness,Healthier alternatives,Vitamins,Yes,Yes,Online ads,Compact and portable cans,No,Above 150,Other,Sports/exercise
103085,120115,Once a week,For mental alertness,Other,No,Neutral,Effective,Yes,1,Not available locally,Bepsi,Availability,Healthier alternatives,Guarana,Yes,Yes,Other,Compact and portable cans,Yes,100-150,Online retailers,Social outings/parties
103086,120116,Daily,Before exercise,To boost performance,Yes,Neutral,Not sure,No,4,Other,Bepsi,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,No,TV commercials,Compact and portable cans,Yes,Above 150,Online retailers,Social outings/parties
103087,120117,2-3 times a week,For mental alertness,To combat fatigue,Yes,Positive,Effective,Yes,5,Health concerns,CodeX,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,Yes,Outdoor billboards,Collectible packaging,No,Above 150,Online retailers,Sports/exercise
103088,120118,Daily,Throughout the day,To enhance sports performance,Yes,Neutral,Healthy,Yes,2,Not available locally,Cola-Coka,Availability,Reduced sugar content,Guarana,No,Yes,Online ads,Compact and portable cans,No,100-150,Local stores,Sports/exercise
103089,120119,Once a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Not sure,Yes,1,Unfamiliar with the brand,Blue Bull,Brand reputation,Reduced sugar content,Vitamins,Yes,No,Online ads,Compact and portable cans,Yes,100-150,Local stores,Sports/exercise
103090,120120,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Not sure,No,5,Health concerns,Others,Brand reputation,Reduced sugar content,Guarana,Yes,Yes,TV commercials,Other,Yes,50-99,Supermarkets,Social outings/parties
103091,120121,Rarely,Before exercise,To boost performance,No,Neutral,Not sure,Yes,1,Health concerns,CodeX,Effectiveness,Reduced sugar content,Vitamins,Yes,Yes,Other,Collectible packaging,No,Above 150,Supermarkets,Sports/exercise
103092,120122,2-3 times a week,Before exercise,To combat fatigue,No,Negative,Healthy,No,4,Unfamiliar with the brand,Blue Bull,Taste/flavor preference,Reduced sugar content,Caffeine,No,Yes,Other,Innovative bottle design,Not Sure,50-99,Supermarkets,Sports/exercise
103093,120123,Daily,Before exercise,Increased energy and focus,No,Negative,Effective,No,1,Health concerns,Gangster,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
103094,120124,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Positive,Healthy,No,1,Not interested in energy drinks,Blue Bull,Availability,More natural ingredients,Guarana,No,Not Sure,Outdoor billboards,Innovative bottle design,Yes,100-150,Online retailers,Sports/exercise
103095,120125,Rarely,Throughout the day,Other,No,Negative,Not sure,No,3,Health concerns,CodeX,Brand reputation,Other,Sugar,Yes,Yes,TV commercials,Eco-friendly design,Yes,100-150,Supermarkets,Sports/exercise
103096,120126,Rarely,Before exercise,Increased energy and focus,Yes,Neutral,Effective,Yes,5,Unfamiliar with the brand,Blue Bull,Taste/flavor preference,Reduced sugar content,Guarana,No,Not Sure,TV commercials,Eco-friendly design,No,Above 150,Other,Sports/exercise
103097,120127,2-3 times a week,Throughout the day,Increased energy and focus,No,Negative,Not sure,No,4,Not available locally,Cola-Coka,Taste/flavor preference,More natural ingredients,Caffeine,No,No,Online ads,Collectible packaging,Yes,100-150,Gyms and fitness centers,Sports/exercise
103098,120128,Once a week,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Dangerous,No,4,Not available locally,Cola-Coka,Effectiveness,Healthier alternatives,Vitamins,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,50-99,Online retailers,Sports/exercise
103099,120129,2-3 times a week,For mental alertness,Other,No,Neutral,Dangerous,Yes,4,Health concerns,Blue Bull,Brand reputation,Wider range of flavors,Sugar,Yes,Not Sure,Outdoor billboards,Collectible packaging,Not Sure,Above 150,Gyms and fitness centers,Sports/exercise
103100,120130,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,Yes,1,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Sugar,Yes,Yes,Other,Eco-friendly design,No,Below 50,Supermarkets,Sports/exercise
103101,120131,Rarely,To stay awake during work/study,Other,No,Neutral,Effective,Yes,5,Other,Cola-Coka,Brand reputation,Healthier alternatives,Vitamins,Yes,Not Sure,Online ads,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
103102,120132,2-3 times a week,To stay awake during work/study,Other,No,Neutral,Healthy,Yes,3,Other,Bepsi,Brand reputation,Healthier alternatives,Guarana,Yes,Yes,Online ads,Collectible packaging,No,50-99,Online retailers,Sports/exercise
103103,120133,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Effective,No,3,Not available locally,Blue Bull,Taste/flavor preference,Healthier alternatives,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,Yes,Below 50,Supermarkets,Studying/working late
103104,120134,2-3 times a month,Before exercise,Increased energy and focus,Yes,Neutral,Dangerous,Yes,3,Health concerns,Gangster,Availability,Reduced sugar content,Guarana,No,Yes,Other,Compact and portable cans,Not Sure,Above 150,Online retailers,Sports/exercise
103105,120135,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Not sure,No,2,Not interested in energy drinks,Cola-Coka,Other,Wider range of flavors,Caffeine,No,Not Sure,TV commercials,Innovative bottle design,Not Sure,50-99,Online retailers,Studying/working late
103106,120136,Rarely,To stay awake during work/study,To enhance sports performance,No,Negative,Healthy,No,3,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Guarana,Yes,Yes,Online ads,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
103107,120137,Once a week,Throughout the day,Increased energy and focus,No,Negative,Not sure,Yes,5,Not available locally,Blue Bull,Effectiveness,Wider range of flavors,Vitamins,No,No,Online ads,Compact and portable cans,Yes,Above 150,Gyms and fitness centers,Social outings/parties
103108,120138,2-3 times a week,Before exercise,To enhance sports performance,Yes,Neutral,Dangerous,Yes,5,Other,Cola-Coka,Brand reputation,Other,Guarana,Yes,Yes,Outdoor billboards,Eco-friendly design,No,Above 150,Online retailers,Social outings/parties
103109,120139,2-3 times a month,Before exercise,To combat fatigue,No,Positive,Not sure,No,3,Not available locally,Cola-Coka,Brand reputation,Other,Vitamins,No,Yes,Online ads,Innovative bottle design,No,100-150,Supermarkets,Studying/working late
103110,120140,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Negative,Healthy,No,5,Not available locally,Cola-Coka,Effectiveness,More natural ingredients,Guarana,Yes,Yes,Online ads,Innovative bottle design,No,Below 50,Gyms and fitness centers,Sports/exercise
103111,120141,Rarely,To stay awake during work/study,To enhance sports performance,No,Positive,Not sure,Yes,3,Other,CodeX,Availability,More natural ingredients,Sugar,Yes,Yes,Online ads,Other,Not Sure,50-99,Supermarkets,Sports/exercise
